spec,subsample,release_round,rmsfe,crps,wqs
"GIGG-SV-trend",Full,13,1.7454563235403,1.05650221575034,0.339941458364416
"GIGG-SV-trend",Full,14,1.70743110047532,1.03256879253646,0.331200898339498
"GIGG-SV-trend",Full,15,1.8431933869505,1.07093083664668,0.351151055768973
"GIGG-SV-trend",GFC,1,5.19984924618635,3.58143956436404,1.30458443163248
"GIGG-SV-trend",GFC,2,4.60819315732309,2.84151457765385,1.11187596593617
"GIGG-SV-trend",GFC,3,4.93743540109189,3.20683770835172,1.17869972687195
"GIGG-SV-trend",GFC,4,4.7412537648902,2.9328306422061,1.14052609636164
"GIGG-SV-trend",GFC,5,5.02658780946804,3.42386930690005,1.20587762210705
"GIGG-SV-trend",GFC,6,4.77425111204237,2.95612573514097,1.16562408036833
"GIGG-SV-trend",GFC,7,4.52330919020875,2.90896539680574,1.1042268978659
"GIGG-SV-trend",GFC,8,4.61839333678059,3.15587808199044,1.11922163866996
"GIGG-SV-trend",GFC,9,4.66646976361899,3.10166033256762,1.1216560392033
"GIGG-SV-trend",GFC,10,4.77432601941254,3.08365026595163,1.11843172529193
"GIGG-SV-trend",GFC,11,5.16498509305529,3.79987642548024,1.18099546748836
"GIGG-SV-trend",GFC,12,4.44468807234913,2.86460316428247,1.06934624554073
"GIGG-SV-trend",GFC,13,4.57699493110294,2.97298268838371,1.09872254881719
"GIGG-SV-trend",GFC,14,4.43904827404764,2.84599124641629,1.04515545821758
"GIGG-SV-trend",GFC,15,4.75008791659447,3.0869790955648,1.13633154989314
"GIGG-SV-trend",Tranquil,1,1.46479356408448,1.1666728032788,0.285383429839618
"GIGG-SV-trend",Tranquil,2,1.02043690201534,0.781083344954641,0.222465039350523
"GIGG-SV-trend",Tranquil,3,0.907448648044377,0.735233806251266,0.209535995700899
"GIGG-SV-trend",Tranquil,4,0.940297232085873,0.744343335987765,0.212085728555389
"GIGG-SV-trend",Tranquil,5,0.907481477501292,0.729558844384663,0.213628473567148
"GIGG-SV-trend",Tranquil,6,0.930228473133465,0.741374808722414,0.214217994436675
"GIGG-SV-trend",Tranquil,7,0.88043414519252,0.728170596408585,0.203416465219862
"GIGG-SV-trend",Tranquil,8,0.860184769539926,0.734009354547221,0.199616068214605
"GIGG-SV-trend",Tranquil,9,0.805648290988259,0.700388075621582,0.19516583183687
"GIGG-SV-trend",Tranquil,10,0.861697949883169,0.705681378969227,0.198133522018403
"GIGG-SV-trend",Tranquil,11,0.956739956792907,0.739135391722017,0.215452179136599
"GIGG-SV-trend",Tranquil,12,0.796727531104561,0.660535620684252,0.195010350392817
"GIGG-SV-trend",Tranquil,13,0.846108791598918,0.675468076633772,0.198518874379466
"GIGG-SV-trend",Tranquil,14,0.813825466117771,0.660380304201693,0.194366543245999
"GIGG-SV-trend",Tranquil,15,0.849275909280217,0.663274849582719,0.196639101622449
"GIGG-SV-trend",Pandemic,1,2.30089111091298,1.95446483782114,0.571172312842265
"GIGG-SV-trend",Pandemic,2,2.1585080141959,1.34410061040026,0.445855468921121
"GIGG-SV-trend",Pandemic,3,2.17099694486289,1.35218598107721,0.440869488097862
"GIGG-SV-trend",Pandemic,4,2.1775377139799,1.3681362734788,0.449312590128961
"GIGG-SV-trend",Pandemic,5,1.98217119308218,1.26227942582495,0.400499757232813
"GIGG-SV-trend",Pandemic,6,2.00184439979333,1.23262074416899,0.404496436366557
"GIGG-SV-trend",Pandemic,7,1.96673302234283,1.22250118113016,0.403011500639777
"GIGG-SV-trend",Pandemic,8,1.72575083034059,1.28555900967573,0.375564116306279
"GIGG-SV-trend",Pandemic,9,1.78856767297169,1.27357302035399,0.387625454495928
"GIGG-SV-trend",Pandemic,10,1.80315087726538,1.27496863970949,0.368808277060118
"GIGG-SV-trend",Pandemic,11,1.80214562025585,1.28101802703181,0.386373487907918
"GIGG-SV-trend",Pandemic,12,1.57018645931898,1.10122809671979,0.349837052647432
"GIGG-SV-trend",Pandemic,13,1.59676298353123,1.13258564309322,0.354334613623939
"GIGG-SV-trend",Pandemic,14,1.60952746969764,1.12396805737945,0.351021410197556
"GIGG-SV-trend",Pandemic,15,1.78692593634294,1.16234340623551,0.379660001893631
"GIGG-SV-trend",Pre,1,2.3956679337202,1.52631891663192,0.437179323723662
"GIGG-SV-trend",Pre,2,1.91393997822221,1.08795608173963,0.354930496501576
"GIGG-SV-trend",Pre,3,1.96924951018479,1.10334502571304,0.35387953013063
"GIGG-SV-trend",Pre,4,1.91976340781473,1.07028825393518,0.350364081207384
"GIGG-SV-trend",Pre,5,2.0047185487031,1.13083912603589,0.361410261647559
"GIGG-SV-trend",Pre,6,1.92534446672952,1.07123132967837,0.355916773192454
"GIGG-SV-trend",Pre,7,1.8237173337931,1.05296982199965,0.337579721145867
"GIGG-SV-trend",Pre,8,1.84995430995403,1.09471320757068,0.336578599984552
"GIGG-SV-trend",Pre,9,1.84427727860675,1.05802436920929,0.333153735061658
"GIGG-SV-trend",Pre,10,1.90066608337468,1.0598469578815,0.335199211867651
"GIGG-SV-trend",Pre,11,2.07552070132604,1.19499043930303,0.35925649867835
"GIGG-SV-trend",Pre,12,1.76795586462465,0.988800999518028,0.325230590095698
"GIGG-SV-trend",Pre,13,1.82966298777232,1.01765110391568,0.332591762061681
"GIGG-SV-trend",Pre,14,1.76978986381552,0.98589682751025,0.321079785901341
"GIGG-SV-trend",Pre,15,1.88539149382854,1.02425207770771,0.336593296045744
"GIGG fixed-SV",Full,1,2.97664653636018,2.1505723988011,0.591995778964236
"GIGG fixed-SV",Full,2,2.33584379092736,1.56527812366143,0.450535071673527
"GIGG fixed-SV",Full,3,2.34191631542813,1.57847940105706,0.465441391418101
"GIGG fixed-SV",Full,4,2.26784596984685,1.52501102312377,0.43476585168891
"GIGG fixed-SV",Full,5,2.01045135608762,1.40595637112158,0.39847526894287
"GIGG fixed-SV",Full,6,2.04755762242521,1.4314854927539,0.403703211682157
"GIGG fixed-SV",Full,7,2.21422493296759,1.51675972523621,0.421111887046938
"GIGG fixed-SV",Full,8,2.26412434870714,1.5253807877425,0.419231338341091
"GIGG fixed-SV",Full,9,2.58710004111739,1.64590225254533,0.455354835367098
"GIGG fixed-SV",Full,10,2.46668771512116,1.64806280389653,0.463776553073068
"GIGG fixed-SV",Full,11,2.56318751449185,1.68603736505901,0.458591896710194
"GIGG fixed-SV",Full,12,2.20462055709669,1.63398904883355,0.414924320523824
"GIGG fixed-SV",Full,13,1.94641053199025,1.49270097074144,0.3896767727735
"GIGG fixed-SV",Full,14,2.40087903495275,1.58416158907624,0.416011993871306
"GIGG fixed-SV",Full,15,2.07238361343327,1.50676109438385,0.417093491395941
"GIGG fixed-SV",GFC,1,5.19899921442393,3.42269726324165,1.16585924028798
"GIGG fixed-SV",GFC,2,4.71215757760811,3.03642039297934,1.11589837668746
"GIGG fixed-SV",GFC,3,4.78568860788926,3.18944551671484,1.12641113205847
"GIGG fixed-SV",GFC,4,4.82920100322587,3.16852882226151,1.10985982628009
"GIGG fixed-SV",GFC,5,4.71003184030894,3.20309571051456,1.15601813777693
"GIGG fixed-SV",GFC,6,4.96208573657438,3.24688277676343,1.18377667049593
"GIGG fixed-SV",GFC,7,5.21072388596272,3.34061882201206,1.21670580396902
"GIGG fixed-SV",GFC,8,5.37465425129494,3.31793801331155,1.19010396524426
"GIGG fixed-SV",GFC,9,5.23022479411848,3.31911441273842,1.27218361449888
"GIGG fixed-SV",GFC,10,5.1685816383871,3.38658856787146,1.31815329581815
"GIGG fixed-SV",GFC,11,4.92256953534044,3.42525204316608,1.28732760144431
"GIGG fixed-SV",GFC,12,4.28620682158342,3.19231373954621,1.01703436209065
"GIGG fixed-SV",GFC,13,3.94357479432974,2.91777886433092,0.90803423583904
"GIGG fixed-SV",GFC,14,4.50425672057232,3.13137027388457,1.08334385613435
"GIGG fixed-SV",GFC,15,5.06170119651877,3.39491625731845,1.24108680113615
"GIGG fixed-SV",Tranquil,1,1.82325525090322,1.60017073634212,0.359731958715706
"GIGG fixed-SV",Tranquil,2,1.11852188242633,1.07806820637399,0.253969920545124
"GIGG fixed-SV",Tranquil,3,1.07820387906007,1.06569938529711,0.261307989344281
"GIGG fixed-SV",Tranquil,4,1.01226045460601,1.01572293125608,0.242994513380568
"GIGG fixed-SV",Tranquil,5,1.04034669400286,1.00816038765012,0.249500189706772
"GIGG fixed-SV",Tranquil,6,1.06242051076542,1.01515463677334,0.249921206293193
"GIGG fixed-SV",Tranquil,7,1.03641846017351,1.05592345672249,0.25482042362066
"GIGG fixed-SV",Tranquil,8,0.997942831892912,1.01588170198817,0.244111676771229
"GIGG fixed-SV",Tranquil,9,1.02927284098558,1.09022634928767,0.251379348003492
"GIGG fixed-SV",Tranquil,10,1.2479214014827,1.13510899172977,0.274623545622994
"GIGG fixed-SV",Tranquil,11,1.11809238461575,1.09166203463512,0.248654719777719
"GIGG fixed-SV",Tranquil,12,1.1104917355067,1.10602826948108,0.255380081359144
"GIGG fixed-SV",Tranquil,13,1.02474381714229,1.06615008447229,0.24574022252867
"GIGG fixed-SV",Tranquil,14,0.996973686257718,1.04291994717976,0.242569613778764
"GIGG fixed-SV",Tranquil,15,0.949317253078988,1.02230847159459,0.232421246804756
"GIGG fixed-SV",Pandemic,1,3.74193822024864,2.69687208410424,0.81172530315903
"GIGG fixed-SV",Pandemic,2,2.93636232613583,1.94821149058943,0.584079359591801
"GIGG fixed-SV",Pandemic,3,2.92307951862533,1.96324764359011,0.612880887187693
"GIGG fixed-SV",Pandemic,4,2.7691102700031,1.89446515148808,0.557482339613717
